Hotel Name,Hotel Address,Hotel City,Hotel Zip,GDS Code,Enriched_Lat,Enriched_Lon,Geo_Source,Geo_Status
  Hilton Riyadh Olaya,8474 King Fahd Road,Riyadh,12333,494944,,,,
  The Sheraton New York Times Square,811 7Th Avenue At 53Rd Street,New York,10019,52576,,,,
 Cala Ponte Resort And Spa,Localita San Vito S.N.C.,Polignano A Mare,70044,316850,,,,
 Durham Marriott Hotel Royal County,Old Elvet,Durham,Dh1 2Jn,4919,,,,
 Fairfield Inn And Suites Marriott,100 Lawrence Rd,Broomall,19008,495211,,,,
 Grand Hotel Vilnius  Curio Collection By Hilton,Universiteto Street 14,Vilnius,01122,79118,,,,
 Hilton Boston Park Plaza,50 Park Plaza At Arlington Street,Boston,02116-3912,57145,,,,
 Hotel Gotham,100 King Street,Manchester,M2 4Wu,82739,,,,
 Hotel Nia,200 Independence Drive,Menlo Park,94025,426387,,,,
 Hilton Vienna Park,,Vienna,1030,47489,,,,
 Hotel De Nell,7 - 9 Rue Du Conservatoire,Paris,,80696,,,,
